id,source,target,co_occurrence,harmony_score
1,121,269,150,1.0000
2,121,134,134,0.8933
3,134,269,95,0.6333
4,115,269,78,0.5200
5,134,290,65,0.4333
6,19,121,63,0.4200
7,269,298,62,0.4133
8,115,134,59,0.3933
9,115,121,59,0.3933
10,121,220,54,0.3600
11,118,134,50,0.3333
12,143,269,49,0.3267
13,121,277,48,0.3200
14,121,290,48,0.3200
15,134,143,47,0.3133
16,269,290,47,0.3133
17,109,134,47,0.3133
18,26,269,47,0.3133
19,120,121,45,0.3000
20,19,134,45,0.3000
21,36,269,42,0.2800
22,115,243,41,0.2733
23,118,269,41,0.2733
24,143,298,40,0.2667
25,72,134,39,0.2600
26,134,277,39,0.2600
27,19,269,38,0.2533
28,259,269,37,0.2467
29,269,277,37,0.2467
30,109,121,36,0.2400
31,109,290,36,0.2400
32,120,269,36,0.2400
33,220,269,36,0.2400
34,115,290,35,0.2333
35,134,282,35,0.2333
36,115,298,34,0.2267
37,100,134,34,0.2267
38,134,298,34,0.2267
39,72,115,33,0.2200
40,28,121,33,0.2200
41,72,269,32,0.2133
42,259,298,31,0.2067
43,125,203,31,0.2067
44,118,121,31,0.2067
45,35,121,30,0.2000
46,134,243,30,0.2000
47,28,269,29,0.1933
48,89,269,29,0.1933
49,36,134,29,0.1933
50,36,121,29,0.1933
51,297,298,28,0.1867
52,121,143,28,0.1867
53,203,265,28,0.1867
54,243,269,28,0.1867
55,72,298,27,0.1800
56,121,212,27,0.1800
57,134,199,27,0.1800
58,55,269,27,0.1800
59,134,202,26,0.1733
60,141,143,26,0.1733
61,121,243,26,0.1733
62,202,269,26,0.1733
63,118,290,26,0.1733
64,67,269,25,0.1667
65,120,134,25,0.1667
66,134,259,25,0.1667
67,100,298,24,0.1600
68,72,290,23,0.1533
69,115,118,23,0.1533
70,243,290,23,0.1533
71,143,259,23,0.1533
72,72,121,23,0.1533
73,72,118,23,0.1533
74,118,143,23,0.1533
75,109,269,23,0.1533
76,109,202,22,0.1467
77,108,109,22,0.1467
78,134,220,22,0.1467
79,225,269,22,0.1467
80,121,293,22,0.1467
81,269,281,21,0.1400
82,36,115,21,0.1400
83,11,269,21,0.1400
84,105,121,21,0.1400
85,89,121,21,0.1400
86,100,199,21,0.1400
87,134,212,21,0.1400
88,121,298,21,0.1400
89,258,298,21,0.1400
90,51,298,20,0.1333
91,89,290,20,0.1333
92,108,134,20,0.1333
93,72,109,20,0.1333
94,115,259,20,0.1333
95,189,199,20,0.1333
96,19,212,19,0.1267
97,26,115,19,0.1267
98,121,259,19,0.1267
