id,name,category
1,acetic,Acidic
2,acetone,Other
3,acetophenone,Other
4,acid,Acidic
5,acidic,Acidic
6,alcohol,Chemical
7,alcoholic,Chemical
8,aldehydic,Other
9,alkane,Other
10,alliaceous,Other
11,almond,Woody
12,amber,Other
13,amine,Other
14,ammonia,Other
15,ammoniacal,Other
16,animal,Savory
17,anise,Spicy
18,anisic,Spicy
19,apple,Fruity
20,apple peel,Fruity
21,apple skin,Fruity
22,apricot,Fruity
23,aromatic,Other
24,bacon,Savory
25,baked,Roasted
26,balsam,Woody
27,balsamic,Woody
28,banana,Fruity
29,bean,Other
30,beany,Other
31,beef,Savory
32,beefy,Savory
33,bell,Other
34,bergamot,Fruity
35,berry,Fruity
36,bitter,Other
37,blackcurrant,Fruity
38,bland,Other
39,blossom,Floral
40,blueberry,Fruity
41,brandy,Fruity
42,bread,Roasted
43,bready,Roasted
44,brown,Other
45,buchu,Other
46,burnt,Roasted
47,butter,Sweet
48,butterscotch,Sweet
49,buttery,Sweet
50,cabbage,Savory
51,camphor,Herbal
52,camphoraceous,Herbal
53,candy,Sweet
54,cantaloupe,Other
55,caramel,Sweet
56,caramellic,Sweet
57,caraway,Spicy
58,carnation,Other
59,cassia,Other
60,castoreum,Other
61,cedar,Woody
62,cedarleaf,Woody
63,celery,Other
64,cheese,Savory
65,cheesy,Savory
66,chemical,Chemical
67,cherry,Fruity
68,chicken,Savory
69,chip,Other
70,chocolate,Sweet
71,cinnamon,Spicy
72,citrus,Fruity
73,civet,Other
74,clean,Other
75,clove,Spicy
76,cocoa,Sweet
77,coconut,Fruity
78,coffee,Roasted
79,cognac,Fruity
80,cooked,Other
81,cooling,Other
82,coriander,Spicy
83,corn,Roasted
84,cortex,Other
85,cotton,Other
86,coumarin,Other
87,cranberry,Fruity
88,cream,Sweet
89,creamy,Sweet
90,cucumber,Other
91,cumin,Spicy
92,cut grass,Herbal
93,dairy,Sweet
94,deep,Other
95,dill,Herbal
96,dirty,Earthy
97,dry,Other
98,dusty,Earthy
99,earth,Earthy
100,earthy,Earthy
101,egg,Savory
102,ester,Other
103,estery,Other
104,ether,Chemical
105,ethereal,Chemical
106,eucalyptus,Herbal
107,faint,Other
108,fat,Savory
109,fatty,Savory
110,fecal,Other
111,fennel,Spicy
112,fermented,Savory
113,fish,Marine
114,fishy,Marine
115,floral,Floral
116,flower,Floral
117,foliage,Other
118,fresh,Herbal
119,fried,Other
120,fruit,Fruity
121,fruity,Fruity
122,fusel,Other
123,galbanum,Other
124,gardenia,Floral
125,garlic,Savory
126,gasoline,Other
127,gassy,Other
128,geranium,Floral
129,ginger,Spicy
130,grape,Fruity
131,grapefruit,Fruity
132,grass,Herbal
133,grassy,Herbal
134,green,Herbal
135,guaiacol,Other
136,harsh,Other
137,hawthorn,Other
138,hawthorne,Other
139,hay,Herbal
140,hazelnut,Woody
141,herb,Herbal
142,herbaceous,Herbal
143,herbal,Herbal
144,honey,Sweet
145,horseradish,Spicy
146,hyacinth,Floral
147,jam,Other
148,jammy,Other
149,jasmin,Floral
150,jasmine,Floral
151,juicy,Fruity
152,lactonic,Sweet
153,lard,Savory
154,lavender,Floral
155,leaf,Other
156,leafy,Herbal
157,leather,Savory
158,lemon,Fruity
159,licorice,Spicy
160,lilac,Floral
161,lily,Floral
162,lime,Fruity
163,magnolia,Floral
164,malt,Roasted
165,malty,Roasted
166,mandarin,Other
167,mango,Fruity
168,maple,Sweet
169,meat,Savory
170,meaty,Savory
171,medical,Other
172,medicinal,Chemical
173,medicine,Chemical
174,melon,Fruity
175,menthol,Herbal
