ingredient_id,molecule_id
0089ea43-aa25-4be0-83da-558109016cfe,81
0089ea43-aa25-4be0-83da-558109016cfe,1398
00ae21ef-6b92-4770-8d44-1ebb13b4548b,11
00ae21ef-6b92-4770-8d44-1ebb13b4548b,13
00ae21ef-6b92-4770-8d44-1ebb13b4548b,14
00ae21ef-6b92-4770-8d44-1ebb13b4548b,20
00ae21ef-6b92-4770-8d44-1ebb13b4548b,23
00ae21ef-6b92-4770-8d44-1ebb13b4548b,41
00ae21ef-6b92-4770-8d44-1ebb13b4548b,44
00ae21ef-6b92-4770-8d44-1ebb13b4548b,46
00ae21ef-6b92-4770-8d44-1ebb13b4548b,48
00ae21ef-6b92-4770-8d44-1ebb13b4548b,72
00ae21ef-6b92-4770-8d44-1ebb13b4548b,73
00ae21ef-6b92-4770-8d44-1ebb13b4548b,76
00ae21ef-6b92-4770-8d44-1ebb13b4548b,156
00ae21ef-6b92-4770-8d44-1ebb13b4548b,158
00ae21ef-6b92-4770-8d44-1ebb13b4548b,216
00ae21ef-6b92-4770-8d44-1ebb13b4548b,291
00ae21ef-6b92-4770-8d44-1ebb13b4548b,335
00ae21ef-6b92-4770-8d44-1ebb13b4548b,339
00ae21ef-6b92-4770-8d44-1ebb13b4548b,351
00ae21ef-6b92-4770-8d44-1ebb13b4548b,417
00ae21ef-6b92-4770-8d44-1ebb13b4548b,435
00ae21ef-6b92-4770-8d44-1ebb13b4548b,449
00ae21ef-6b92-4770-8d44-1ebb13b4548b,611
00ae21ef-6b92-4770-8d44-1ebb13b4548b,758
00ae21ef-6b92-4770-8d44-1ebb13b4548b,792
00ae21ef-6b92-4770-8d44-1ebb13b4548b,811
00ae21ef-6b92-4770-8d44-1ebb13b4548b,1155
00ae21ef-6b92-4770-8d44-1ebb13b4548b,1159
00ae21ef-6b92-4770-8d44-1ebb13b4548b,1743
0160fee2-04e7-482e-b928-d3a10c7d411c,96
0160fee2-04e7-482e-b928-d3a10c7d411c,102
0160fee2-04e7-482e-b928-d3a10c7d411c,186
0160fee2-04e7-482e-b928-d3a10c7d411c,192
0160fee2-04e7-482e-b928-d3a10c7d411c,194
0160fee2-04e7-482e-b928-d3a10c7d411c,226
0160fee2-04e7-482e-b928-d3a10c7d411c,339
0160fee2-04e7-482e-b928-d3a10c7d411c,511
0160fee2-04e7-482e-b928-d3a10c7d411c,550
0160fee2-04e7-482e-b928-d3a10c7d411c,632
0160fee2-04e7-482e-b928-d3a10c7d411c,800
0160fee2-04e7-482e-b928-d3a10c7d411c,1403
024f58fe-fa97-432b-99e6-46d609b2afc5,24
024f58fe-fa97-432b-99e6-46d609b2afc5,36
024f58fe-fa97-432b-99e6-46d609b2afc5,38
